covered_entity_name,state,covered_entity_type,breach_type,location_of_breached_info,individuals_affected,breach_submission_date,business_associate_present,outreach_priority
Iowa Health and Human Services,IA,Health Plan,Hacking/IT Incident,Network Server,3340,01/06/2026,Yes,MEDIUM
Mountain Laurel Dermatology,NC,Healthcare Provider,Hacking/IT Incident,Network Server,3324,07/10/2025,No,MEDIUM
"Broad River Physicians Group, LLC",SC,Healthcare Provider,Hacking/IT Incident,Network Server,3295,09/16/2025,Yes,MEDIUM
Spring River Mental Health & Wellness,KS,Healthcare Provider,Hacking/IT Incident,Network Server,3250,01/24/2025,No,MEDIUM
City of Franklin,WI,Healthcare Provider,Hacking/IT Incident,Network Server,3233,07/03/2025,No,MEDIUM
Equilibria Mental Health Services,PA,Healthcare Provider,Hacking/IT Incident,Email,3232,07/20/2025,No,MEDIUM
UnitedHealthcare,CT,Health Plan,Unauthorized Access/Disclosure,Paper/Films,3215,08/12/2025,No,MEDIUM
Bronsky Orthodontics,NY,Healthcare Provider,Hacking/IT Incident,Email,3183,05/08/2026,No,MEDIUM
Arizona Health Care Cost Containment System- State Medicaid Agency,AZ,Health Plan,Unauthorized Access/Disclosure,Electronic Medical Record,3177,10/03/2025,No,MEDIUM
"Interventional Pain Center, PLLC",TN,Healthcare Provider,Hacking/IT Incident,Email,3171,03/31/2026,No,MEDIUM
"BayMark Health Services, Inc.",TX,Business Associate,Hacking/IT Incident,Network Server,3170,01/08/2025,Yes,MEDIUM
Easterseals Northeast Indiana,IN,Healthcare Provider,Hacking/IT Incident,Network Server,3158,02/16/2026,No,MEDIUM
"Effortless Office Enterprises, LLC",NV,Business Associate,Hacking/IT Incident,Network Server,3112,12/20/2024,Yes,MEDIUM
NCH Corporation Employee Benefits Plan,TX,Health Plan,Hacking/IT Incident,Network Server,3098,12/05/2025,No,MEDIUM
"Ingham County Medical Care Facility, d/b/a Dobie Road",MI,Healthcare Provider,Hacking/IT Incident,Electronic Medical Record,3078,01/05/2025,Yes,MEDIUM
The South Alabama Regional Planning Commission,AL,Business Associate,Hacking/IT Incident,Network Server,3043,03/18/2026,Yes,MEDIUM
Lumexa Imaging,NC,Healthcare Provider,Hacking/IT Incident,Network Server,2994,05/15/2026,No,MEDIUM
PET Imaging of The Woodlands,TX,Healthcare Provider,Hacking/IT Incident,Email,2978,06/27/2025,Yes,MEDIUM
Anthony L. Jordan Health Corporation,NY,Healthcare Provider,Hacking/IT Incident,Email,2974,08/29/2025,No,MEDIUM
Health Care Service Corporation,IL,Health Plan,Unauthorized Access/Disclosure,Other,2944,04/13/2025,No,MEDIUM
Cornerstones of Care,MO,Healthcare Provider,Hacking/IT Incident,Email,2771,02/14/2025,No,MEDIUM
Clarkston Chiropractic Sports & Wellness,MI,Healthcare Provider,Hacking/IT Incident,Network Server,2757,06/11/2025,Yes,MEDIUM
Trinity Health,MI,Business Associate,Unauthorized Access/Disclosure,Electronic Medical Record,2740,03/13/2026,Yes,MEDIUM
Harbor,OH,Healthcare Provider,Hacking/IT Incident,Email,2703,06/20/2025,No,MEDIUM
Intercommunity Action Inc.,PA,Healthcare Provider,Hacking/IT Incident,Network Server,2680,09/26/2025,No,MEDIUM
Public Health Trust of Miami Dade County DBA Jackson Health System,FL,Healthcare Provider,Unauthorized Access/Disclosure,Electronic Medical Record,2599,06/06/2025,No,MEDIUM
CVS Caremark,RI,Business Associate,Unauthorized Access/Disclosure,Paper/Films,2599,05/13/2025,Yes,MEDIUM
Williamsburg Area Medical Assistance Corporation d/b/a Olde Towne Medical and Dental Center (OTMDC),VA,Healthcare Provider,Hacking/IT Incident,Network Server,2567,07/13/2025,No,MEDIUM
CUNNINGHAM PROSTHETIC CARE LLC,ME,Healthcare Provider,Hacking/IT Incident,Email,2523,05/01/2026,No,MEDIUM
TriCity Family Services,IL,Healthcare Provider,Hacking/IT Incident,Network Server,2511,12/08/2025,No,MEDIUM
Kronick Moskovitz Tiedemann & Girard,CA,Business Associate,Hacking/IT Incident,Network Server,2511,02/28/2025,Yes,MEDIUM
Wayne Memorial Hospital,GA,Healthcare Provider,Hacking/IT Incident,Network Server,2500,08/02/2024,No,MEDIUM
"Apex Spine & Neurosurgery, LLC",GA,Healthcare Provider,Hacking/IT Incident,Network Server,2500,02/06/2026,No,MEDIUM
"Spring Management OK, LLC",OK,Business Associate,Hacking/IT Incident,Network Server,2494,02/14/2025,Yes,MEDIUM
Arkansas Primary Care Clinic,AR,Healthcare Provider,Hacking/IT Incident,Network Server,2491,08/20/2025,No,MEDIUM
"Franklin Dermatology Group, PLC",TN,Healthcare Provider,Hacking/IT Incident,Network Server,2457,09/11/2025,Yes,MEDIUM
zizzl llc,WI,Business Associate,Hacking/IT Incident,Email,2416,08/22/2025,Yes,MEDIUM
Denali Biomedical,AK,Healthcare Provider,Hacking/IT Incident,Email,2413,06/27/2025,Yes,MEDIUM
Mystic Valley Elder Services - Business Associate,MA,Business Associate,Hacking/IT Incident,Network Server,2402,10/22/2024,Yes,MEDIUM
"Ocelot Ventures, LLC dba Excelas",OH,Business Associate,Hacking/IT Incident,Network Server,2275,05/12/2026,Yes,MEDIUM
Prime Therapeutics LLC,MN,Business Associate,Unauthorized Access/Disclosure,Laptop,2266,08/25/2025,Yes,MEDIUM
The Smith Institute for Urology,NY,Healthcare Provider,Unauthorized Access/Disclosure,Desktop Computer,2263,05/28/2025,No,MEDIUM
Somerset County Children and Youth Services,PA,Healthcare Provider,Hacking/IT Incident,Email,2251,09/05/2025,No,MEDIUM
Cardiovascular Medicine Associates (doing business as MyCardiologist),FL,Healthcare Provider,Hacking/IT Incident,Email,2248,10/06/2025,No,MEDIUM
St. John’s Riverside Hospital,NY,Healthcare Provider,Hacking/IT Incident,Email,2238,11/14/2025,No,MEDIUM
"Brain & Eye Connection Vision Clinic, PC",OK,Healthcare Provider,Hacking/IT Incident,Network Server,2207,11/01/2024,No,MEDIUM
"Aurora Emergency Physicians, LLC",IL,Healthcare Provider,Hacking/IT Incident,Network Server,2176,09/16/2025,Yes,MEDIUM
44North,MI,Business Associate,Hacking/IT Incident,Email,2158,02/16/2026,Yes,MEDIUM
Citadel of Northbrook,IL,Healthcare Provider,Hacking/IT Incident,"Electronic Medical Record, Network Server",2155,11/25/2024,Yes,MEDIUM
"Wee Care Pediatrics, LLC",UT,Healthcare Provider,Hacking/IT Incident,Network Server,2127,02/14/2026,No,MEDIUM
"Jacobsen Construction Co., Inc. Health Plan",UT,Health Plan,Hacking/IT Incident,Network Server,2127,09/20/2024,No,MEDIUM
"Mazzola Mardon, P.C.",NY,Business Associate,Hacking/IT Incident,Network Server,2123,04/15/2026,Yes,MEDIUM
"Option Care Health, Inc.",IL,Healthcare Provider,Hacking/IT Incident,Email,2086,02/20/2026,No,MEDIUM
"Germantown Emergency Physicians, PLLC",TN,Healthcare Provider,Hacking/IT Incident,Network Server,2084,09/16/2025,Yes,MEDIUM
"TMG Health, Inc.",TX,Business Associate,Unauthorized Access/Disclosure,Network Server,2076,01/13/2026,Yes,MEDIUM
"ABKSW PREFERRED HEALTH PARTNERS, PLLC d/b/a NORTH TEXAS PREFERRED HEALTH PARTNERS",TX,Healthcare Provider,Hacking/IT Incident,Network Server,2074,01/08/2026,Yes,MEDIUM
FPMCM LLC,TN,Business Associate,Unauthorized Access/Disclosure,Email,2072,12/15/2025,Yes,MEDIUM
Urology Associates of Charleston,SC,Healthcare Provider,Hacking/IT Incident,Email,2060,07/03/2025,No,MEDIUM
"C2N Diagnostics, LLC",MO,Healthcare Provider,Hacking/IT Incident,Email,2027,04/27/2026,No,MEDIUM
Regency Oaks,FL,Healthcare Provider,Hacking/IT Incident,Email,2008,07/11/2025,No,MEDIUM
Henry Ford Health,MI,Healthcare Provider,Unauthorized Access/Disclosure,Desktop Computer,1984,11/26/2025,No,MEDIUM
Bloom Health Centers,MD,Healthcare Provider,Hacking/IT Incident,Email,1954,02/01/2024,No,MEDIUM
PET Imaging of Dallas Northeast,TX,Healthcare Provider,Hacking/IT Incident,Email,1935,06/27/2025,Yes,MEDIUM
"Aprendamos Intervention Team, P.A.",NM,Healthcare Provider,Unauthorized Access/Disclosure,Email,1916,01/23/2025,No,MEDIUM
Orange County Radiation Oncology Medical Group,CA,Healthcare Provider,Hacking/IT Incident,Email,1911,06/27/2025,Yes,MEDIUM
"Option Care Health, Inc.",IL,Healthcare Provider,Hacking/IT Incident,Email,1891,04/06/2026,No,MEDIUM
Summit Healthcare Medical Associates,AZ,Healthcare Provider,Unauthorized Access/Disclosure,Electronic Medical Record,1861,04/11/2025,No,MEDIUM
Jefferson Health Plans,PA,Health Plan,Unauthorized Access/Disclosure,Paper/Films,1855,05/18/2026,Yes,MEDIUM
"El Paso Healthcare System, Ltd. d/b/a Las Palmas Del Sol Healthcare",TX,Healthcare Provider,Unauthorized Access/Disclosure,Electronic Medical Record,1854,12/11/2024,No,MEDIUM
Brainard Surgery Center LLC,OH,Healthcare Provider,Hacking/IT Incident,Network Server,1820,04/24/2025,No,MEDIUM
"Acadia Healthcare Company, Inc",TN,Business Associate,Hacking/IT Incident,Email,1807,05/22/2026,Yes,MEDIUM
Pit River Health Service Inc.,CA,Healthcare Provider,Hacking/IT Incident,Network Server,1800,01/06/2026,No,MEDIUM
Icon Family Healthcare LLC,CA,Healthcare Provider,Unauthorized Access/Disclosure,Email,1800,04/22/2025,No,MEDIUM
K&E Advanced Dentisrty,OH,Healthcare Provider,Hacking/IT Incident,Email,1700,07/07/2025,No,MEDIUM
"Children's Dental Center at Preston Trail, P.C. d/b/a Park Place Pediatric Dentistry (Arlington, TX)",TN,Healthcare Provider,Theft,Laptop,1690,02/14/2025,No,MEDIUM
Baylor Scott & White Texas Spine & Joint Hospital,TX,Healthcare Provider,Hacking/IT Incident,Email,1640,03/14/2025,No,MEDIUM
Andover Eye Associates,MA,Healthcare Provider,Hacking/IT Incident,Email,1638,12/31/2025,No,MEDIUM
"OCAT, LLC dba Evoke Wellness at Hilliard",OH,Healthcare Provider,Unauthorized Access/Disclosure,Electronic Medical Record,1629,12/12/2025,No,MEDIUM
AUTOAPS LLC,CA,Business Associate,Hacking/IT Incident,Network Server,1591,05/22/2026,Yes,MEDIUM
Delta Medical Systems,WI,Business Associate,Hacking/IT Incident,Email,1574,03/10/2026,Yes,MEDIUM
Schneider Regional Medical Center,,Healthcare Provider,Hacking/IT Incident,Network Server,1570,10/07/2024,No,MEDIUM
"Dolton Nursing & Rehab, LLC",IL,Healthcare Provider,Hacking/IT Incident,"Electronic Medical Record, Network Server",1559,11/18/2024,Yes,MEDIUM
AmeriHealth Caritas Louisiana,LA,Health Plan,Unauthorized Access/Disclosure,"Network Server, Other",1552,03/21/2025,No,MEDIUM
"HealthEquity, Inc.",UT,Business Associate,Hacking/IT Incident,Network Server,1549,12/20/2024,Yes,MEDIUM
Fair Oaks Ortho P.C.,VA,Healthcare Provider,Hacking/IT Incident,Email,1544,02/02/2026,No,MEDIUM
Blue Shield of California,CA,Business Associate,Unauthorized Access/Disclosure,Other,1543,06/06/2025,Yes,MEDIUM
Emergency Responders Health Center,ID,Healthcare Provider,Hacking/IT Incident,Email,1528,09/26/2025,No,MEDIUM
"Medi-Rents & Sales, Inc.",MD,Healthcare Provider,Hacking/IT Incident,Email,1524,03/25/2026,No,MEDIUM
Community Dental,ME,Healthcare Provider,Hacking/IT Incident,Network Server,1523,11/17/2023,No,MEDIUM
"Access Information Management Shared Services, LLC",MA,Business Associate,Hacking/IT Incident,Other,1522,02/28/2026,Yes,MEDIUM
Builders FirstSource Flex Plan,TX,Health Plan,Hacking/IT Incident,Network Server,1514,02/18/2026,No,MEDIUM
"Sanger Skilled Care, LLC dba Cornerstone Care Center",CA,Healthcare Provider,Hacking/IT Incident,"Electronic Medical Record, Network Server",1510,05/07/2026,No,MEDIUM
"Atlanta Perinatal Consultants, LLP",GA,Healthcare Provider,Hacking/IT Incident,Network Server,1508,07/02/2024,Yes,MEDIUM
Apex Custom Software,TX,Business Associate,Hacking/IT Incident,Network Server,1500,01/22/2025,Yes,MEDIUM
Marquette County Medical Care Facility,OH,Healthcare Provider,Hacking/IT Incident,Email,1499,06/18/2025,No,MEDIUM
Bay Medical LLC,MD,Healthcare Provider,Hacking/IT Incident,Email,1483,10/09/2025,No,MEDIUM
Benton County Health,OR,Healthcare Provider,Hacking/IT Incident,Network Server,1476,01/16/2026,Yes,MEDIUM
Frilot L.L.C.,LA,Business Associate,Hacking/IT Incident,Network Server,1448,08/01/2024,Yes,MEDIUM
"Holdrege Memorial Homes, Inc.",NE,Healthcare Provider,Hacking/IT Incident,Network Server,1446,01/20/2025,No,MEDIUM
Clinical Practices of the University of Pennsylvania,PA,Healthcare Provider,Unauthorized Access/Disclosure,Paper/Films,1432,06/30/2025,No,MEDIUM
Navesink Rehab,NJ,Healthcare Provider,Hacking/IT Incident,Network Server,1428,09/17/2025,No,MEDIUM
"Berkshire Health Systems, Inc.",MA,Healthcare Provider,Unauthorized Access/Disclosure,Electronic Medical Record,1421,07/30/2025,No,MEDIUM
Superior Care Plus LLC d/b/a Supportive Home Health LLC,OH,Healthcare Provider,Hacking/IT Incident,Email,1415,01/16/2026,No,MEDIUM
Methodist Homes of Alabama and Northwest Florida,AL,Healthcare Provider,Hacking/IT Incident,Email,1406,01/06/2026,No,MEDIUM
School Employees' Benefit Trust,IN,Health Plan,Hacking/IT Incident,Network Server,1371,07/05/2024,Yes,MEDIUM
NHPP Physical Medicine and Rehabilitation,NY,Healthcare Provider,Unauthorized Access/Disclosure,Other,1353,05/23/2025,No,MEDIUM
"BMG of Kansas, Inc.",KS,Health Plan,Hacking/IT Incident,Network Server,1327,02/26/2026,No,MEDIUM
Southwest Urology,OH,Healthcare Provider,Hacking/IT Incident,Network Server,1310,10/24/2025,Yes,MEDIUM
"PhyNet Dermatology, LLC",TN,Business Associate,Hacking/IT Incident,Email,1308,07/29/2025,Yes,MEDIUM
Defense Health Agency,VA,Health Plan,Unauthorized Access/Disclosure,Email,1300,04/14/2026,Yes,MEDIUM
"Pines of Sarasota Healthcare, LLC",FL,Healthcare Provider,Hacking/IT Incident,Email,1258,12/31/2025,No,MEDIUM
"True RCM, a Rapid Care Transcription, Inc., Company",MD,Business Associate,Hacking/IT Incident,Desktop Computer,1247,01/20/2026,Yes,MEDIUM
Texas Center for Infectious Disease Associates,TX,Healthcare Provider,Hacking/IT Incident,Email,1236,09/10/2025,No,MEDIUM
JASON R EGBERT OD PC,WA,Healthcare Provider,Hacking/IT Incident,Network Server,1225,06/02/2026,Yes,MEDIUM
University Medical Center of Southern Nevada,NV,Healthcare Provider,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",1221,03/28/2026,No,MEDIUM
"REACH, Inc",AK,Healthcare Provider,Hacking/IT Incident,Email,1195,10/27/2025,No,MEDIUM
Terrace of Hialeah,FL,Healthcare Provider,Hacking/IT Incident,Network Server,1177,11/18/2024,Yes,MEDIUM
Valley Radiology,CA,Healthcare Provider,Hacking/IT Incident,Network Server,1166,09/25/2025,No,MEDIUM
Khalil Foundation (DBA Khalil Center),IL,Healthcare Provider,Unauthorized Access/Disclosure,Network Server,1153,12/22/2024,No,MEDIUM
Healthcare In Action,CA,Healthcare Provider,Hacking/IT Incident,"Email, Other",1143,03/30/2026,No,MEDIUM
"Vail Summit Orthopaedics, LLC (“VSON”)",CO,Healthcare Provider,Hacking/IT Incident,Network Server,1138,03/04/2024,No,MEDIUM
Consultants in Pain Medicine,TX,Healthcare Provider,Hacking/IT Incident,Network Server,1124,02/16/2025,No,MEDIUM
Omaha Surgical Center,NE,Healthcare Provider,Hacking/IT Incident,Email,1110,12/30/2024,No,MEDIUM
Minneapolis VA Medical Center,MN,Healthcare Provider,Unauthorized Access/Disclosure,Paper/Films,1099,06/24/2025,No,MEDIUM
FedEx Corporation Group Health Plan,TN,Health Plan,Hacking/IT Incident,Network Server,1066,12/01/2025,Yes,MEDIUM
Skin Care Specialty Physicians,MD,Healthcare Provider,Hacking/IT Incident,Email,1038,06/19/2025,No,MEDIUM
"Keystone Alliance, Inc.",IL,Business Associate,Hacking/IT Incident,Email,1021,11/26/2025,Yes,MEDIUM
Blue Cross and Blue Shield of Oklahoma,IL,Health Plan,Unauthorized Access/Disclosure,Other,1020,04/13/2025,No,MEDIUM
Cottage Hospital,NH,Healthcare Provider,Hacking/IT Incident,Network Server,1005,02/06/2026,No,MEDIUM
"Altior Healthcare, LLC",CA,Healthcare Provider,Hacking/IT Incident,Email,1002,04/11/2025,No,MEDIUM
Welcome Dentistry-Anaheim,CA,Healthcare Provider,Hacking/IT Incident,Network Server,1001,08/15/2025,No,MEDIUM
Welcome Dentistry-Los Angeles,CA,Healthcare Provider,Hacking/IT Incident,Network Server,1001,08/13/2025,No,MEDIUM
Northwest Asthma and Allergy Center,WA,Healthcare Provider,Hacking/IT Incident,Email,1000,12/12/2024,No,LOW
Insurance ACE/Humana Inc.,KY,Health Plan,Hacking/IT Incident,Network Server,1000,02/28/2026,Yes,LOW
Prime Care 12 Priority Health,WV,Healthcare Provider,Hacking/IT Incident,Network Server,1000,04/20/2026,No,LOW
"Southern Oregon Neurosurgical and Spine Associates, PC",OR,Healthcare Provider,Hacking/IT Incident,Email,1000,12/09/2025,No,LOW
"VirMedice, LLC",AZ,Business Associate,Hacking/IT Incident,Network Server,1000,10/25/2025,Yes,LOW
Tanner Medical Center,GA,Healthcare Provider,Unauthorized Access/Disclosure,Electronic Medical Record,1000,11/25/2025,No,LOW
North Penn Comprehensive Health Services d.b.a Laurel Health Centers,PA,Healthcare Provider,Hacking/IT Incident,Email,991,09/12/2025,No,LOW
Bardmoor Cancer Center,FL,Healthcare Provider,Hacking/IT Incident,Email,991,06/27/2025,Yes,LOW
Cerenade,CA,Business Associate,Hacking/IT Incident,Network Server,987,11/30/2025,Yes,LOW
Judson Center,MI,Healthcare Provider,Hacking/IT Incident,Network Server,976,10/31/2025,No,LOW
Blue Cross and Blue Shield of North Carolina,NC,Business Associate,Hacking/IT Incident,Network Server,972,08/27/2024,Yes,LOW
"Town of Apex, North Carolina",NC,Health Plan,Hacking/IT Incident,Network Server,970,03/30/2026,No,LOW
"Steel Encounters, Inc.",UT,Healthcare Provider,Hacking/IT Incident,Network Server,959,12/31/2025,No,LOW
Samaritan Counseling Center of the Fox Valley,WI,Healthcare Provider,Hacking/IT Incident,Email,956,01/10/2025,No,LOW
Community Treatment Solutions,NJ,Healthcare Provider,Hacking/IT Incident,Network Server,950,01/16/2025,No,LOW
Team Select,AZ,Healthcare Provider,Hacking/IT Incident,"Network Server, Other",949,03/12/2026,Yes,LOW
Elmore County,ID,Healthcare Provider,Hacking/IT Incident,Email,931,06/13/2025,No,LOW
Methodist Homes of Alabama and Northwest Florida,AL,Healthcare Provider,Hacking/IT Incident,Network Server,908,01/30/2025,No,LOW
"Drs. Abdelbaky, Boes, Cameron & Associates of Wake Forest, PLLC",NC,Healthcare Provider,Hacking/IT Incident,Email,908,05/15/2026,Yes,LOW
The Carpenter Health Network,LA,Healthcare Provider,Hacking/IT Incident,Network Server,878,05/06/2025,No,LOW
Insulet Corporation,MA,Healthcare Provider,Unauthorized Access/Disclosure,Network Server,841,05/16/2025,No,LOW
The Chase Group Employee Benefit Plan,NM,Health Plan,Hacking/IT Incident,Network Server,817,11/06/2025,No,LOW
NJ Division of Developmental Disabilities - Hunterdon Developmental Center,NJ,Healthcare Provider,Unauthorized Access/Disclosure,Network Server,807,04/17/2026,No,LOW
Horizon Blue Cross Blue Shield NJ,NJ,Health Plan,Hacking/IT Incident,Network Server,781,05/30/2025,No,LOW
"BlueCross BlueShield of Tennessee, Inc.",TN,Business Associate,Unauthorized Access/Disclosure,Email,780,12/26/2025,Yes,LOW
Kelley Drye & Warren LLP,NY,Business Associate,Hacking/IT Incident,Network Server,771,06/12/2025,Yes,LOW
Eastern Idaho Public Health,ID,Healthcare Provider,Unauthorized Access/Disclosure,Electronic Medical Record,759,01/07/2025,No,LOW
Claxton-Hepburn Medical Center,NY,Healthcare Provider,Hacking/IT Incident,Network Server,757,11/02/2023,No,LOW
"Shore Gardens Rehabilitation and Nursing Center, LLC",PA,Healthcare Provider,Hacking/IT Incident,Network Server,755,04/06/2026,No,LOW
Huron Inc. Health Plan,MI,Health Plan,Unauthorized Access/Disclosure,Network Server,750,11/08/2024,No,LOW
VNS Behavioral Health Inc. (“VNS Health”),NY,Healthcare Provider,Hacking/IT Incident,Email,739,02/18/2026,No,LOW
Columbus Division of Fire,OH,Healthcare Provider,Hacking/IT Incident,Network Server,736,02/10/2025,No,LOW
SCLARC,CA,Business Associate,Theft,"Laptop, Other Portable Electronic Device, Paper/Films",722,03/06/2025,Yes,LOW
"Newburgh Healthcare Residential Center, Inc.",IN,Healthcare Provider,Hacking/IT Incident,Network Server,700,04/04/2025,No,LOW
"Methodist North Emergency Physicians, PLLC",TN,Healthcare Provider,Hacking/IT Incident,Network Server,699,09/16/2025,Yes,LOW
"Allegany Council on Alcoholism & Substance Abuse, Inc.",NY,Healthcare Provider,Hacking/IT Incident,Email,696,04/02/2025,No,LOW
Capitol Pain Institute,CO,Healthcare Provider,Hacking/IT Incident,Email,695,05/01/2026,No,LOW
"Village Heart Seller, PC d/b/a Village Heart & Vein Center",FL,Healthcare Provider,Hacking/IT Incident,Email,687,04/03/2026,No,LOW
UPMC,PA,Healthcare Provider,Unauthorized Access/Disclosure,Other,687,03/14/2026,No,LOW
Equinix Incorporated Group Health and Welfare Benefit Plan,CA,Health Plan,Hacking/IT Incident,Network Server,677,05/22/2026,Yes,LOW
Blue Shield of California,CA,Business Associate,Unauthorized Access/Disclosure,Email,673,06/23/2025,Yes,LOW
"Personalis, Inc.",CA,Healthcare Provider,Hacking/IT Incident,Email,650,02/04/2026,No,LOW
"Northeast Professional Home Care, Inc.",OH,Healthcare Provider,Hacking/IT Incident,Email,648,11/01/2024,No,LOW
Houston Dermatology Specialists,TX,Business Associate,Hacking/IT Incident,Network Server,648,03/02/2026,Yes,LOW
California Cancer Associates for Research and Excellence – San Diego,CA,Healthcare Provider,Hacking/IT Incident,Email,638,06/27/2025,Yes,LOW
"Independent Health Association, Inc.",NY,Health Plan,Unauthorized Access/Disclosure,Other,637,08/22/2025,No,LOW
Winkler County Hospital District,TX,Healthcare Provider,Unauthorized Access/Disclosure,Email,637,06/17/2025,No,LOW
Centivo Corporation,GA,Business Associate,Unauthorized Access/Disclosure,Email,630,06/06/2025,Yes,LOW
"Lorain Emergency Physicians, LLC",OH,Healthcare Provider,Hacking/IT Incident,Network Server,628,09/16/2025,Yes,LOW
"Repay Management Services, LLC",GA,Health Plan,Hacking/IT Incident,Network Server,606,06/10/2025,Yes,LOW
Revere Health PC,UT,Healthcare Provider,Hacking/IT Incident,Desktop Computer,605,08/19/2025,No,LOW
Georgia Vascual Specialists PC,GA,Healthcare Provider,Hacking/IT Incident,Network Server,600,03/13/2026,No,LOW
Welcome Health,CA,Healthcare Provider,Hacking/IT Incident,Email,597,09/06/2024,No,LOW
Palo Verde Hospital,CA,Healthcare Provider,Hacking/IT Incident,Network Server,594,04/24/2025,No,LOW
Blue Cross Blue Shield of Texas,IL,Business Associate,Unauthorized Access/Disclosure,Paper/Films,593,05/09/2025,Yes,LOW
"Ad Valorem Records, Inc.",TN,Business Associate,Unauthorized Access/Disclosure,Paper/Films,590,10/11/2024,Yes,LOW
"Wellpoint, Inc.",IN,Business Associate,Hacking/IT Incident,Network Server,579,10/07/2025,Yes,LOW
"Ouster, Inc.",CA,Health Plan,Unauthorized Access/Disclosure,Network Server,574,04/30/2026,No,LOW
Dallas County MHMR dba Metrocare Services,TX,Healthcare Provider,Unauthorized Access/Disclosure,"Email, Network Server",553,04/03/2025,No,LOW
University of Michigan/Michigan Medicine,MI,Healthcare Provider,Unauthorized Access/Disclosure,Electronic Medical Record,551,05/01/2026,No,LOW
Canby Clinic,OR,Healthcare Provider,Unauthorized Access/Disclosure,Email,549,04/30/2025,No,LOW
"Drs. Abdelbaky, Boes, Cameron & Associates of Cary Park, PLLC",NC,Healthcare Provider,Hacking/IT Incident,Email,547,05/15/2026,Yes,LOW
Center for Urologic Care of Berks CO,PA,Healthcare Provider,Hacking/IT Incident,Network Server,543,11/26/2025,No,LOW
Renovo Chiropractic & Wellness,WA,Healthcare Provider,Theft,"Other, Paper/Films",538,03/16/2026,No,LOW
Broadwest Specialty Surgical Center,IN,Healthcare Provider,Hacking/IT Incident,Network Server,536,06/17/2025,Yes,LOW
Belmont Aesthetic and Reconstructive Plastic Surgery,VA,Healthcare Provider,Hacking/IT Incident,Network Server,528,04/23/2026,No,LOW
Weill Cornell Medicine,NY,Healthcare Provider,Unauthorized Access/Disclosure,Electronic Medical Record,516,02/23/2026,No,LOW
Bevel Health Medical Group,PA,Healthcare Provider,Unauthorized Access/Disclosure,Electronic Medical Record,510,08/18/2025,No,LOW
"EMS Department for the Kansas City, Kansas Fire Department",KS,Healthcare Provider,Hacking/IT Incident,Network Server,501,07/20/2024,No,LOW
Aroostook Mental Health Center,ME,Healthcare Provider,Hacking/IT Incident,Network Server,501,05/05/2026,No,LOW
"Coalesce, LLC dba Benefitelect",AZ,Business Associate,Hacking/IT Incident,Network Server,501,10/15/2025,Yes,LOW
"NJ Pain Care Specialists, LLC",NJ,Healthcare Provider,Hacking/IT Incident,Network Server,501,05/14/2026,No,LOW
Coos County Family Health Services,NH,Healthcare Provider,Hacking/IT Incident,Network Server,501,09/05/2025,No,LOW
"CareTracker, Inc.",NY,Business Associate,Hacking/IT Incident,Network Server,501,08/18/2025,Yes,LOW
"Spokane Digestive Disease Center, P.S.",WA,Healthcare Provider,Hacking/IT Incident,Email,501,04/20/2026,No,LOW
PROVAIL,WA,Healthcare Provider,Hacking/IT Incident,Network Server,501,08/08/2025,No,LOW
North Atlantic States Carpenters Health Benefits Fund,MA,Health Plan,Hacking/IT Incident,Network Server,501,10/17/2025,No,LOW
Vance County Department of Social Services,NC,Business Associate,Hacking/IT Incident,Network Server,501,08/22/2025,Yes,LOW
"Nationwide Recovery Services, Inc.",GA,Business Associate,Hacking/IT Incident,Network Server,501,09/09/2024,Yes,LOW
Mower County Health and Human Services,MN,Healthcare Provider,Hacking/IT Incident,Network Server,501,08/15/2025,No,LOW
Human Development Services of Westchester,NY,Healthcare Provider,Hacking/IT Incident,Email,501,07/18/2025,No,LOW
Naper Grove Vision Care,IL,Healthcare Provider,Hacking/IT Incident,Network Server,501,07/10/2025,No,LOW
Dermatology Associates of Concord,MA,Healthcare Provider,Hacking/IT Incident,Network Server,501,11/18/2025,No,LOW
Healthcare Interactive,MD,Business Associate,Hacking/IT Incident,Network Server,501,09/22/2025,Yes,LOW
"Better Vision Eyecare, LLC",AZ,Healthcare Provider,Unauthorized Access/Disclosure,Email,501,10/28/2025,No,LOW
PDCM Insurance,IA,Business Associate,Hacking/IT Incident,Network Server,501,06/27/2025,Yes,LOW
"La Perouse, LLC",NV,Business Associate,Hacking/IT Incident,Network Server,501,09/02/2025,Yes,LOW
Palomar Health Medical Group,CA,Healthcare Provider,Hacking/IT Incident,Network Server,501,05/08/2026,Yes,LOW
Cedar Valley Services,MN,Healthcare Provider,Hacking/IT Incident,Network Server,501,02/13/2026,No,LOW
Loretto Hospital,IL,Healthcare Provider,Hacking/IT Incident,Network Server,501,04/04/2025,No,LOW
Greater St. Louis Oral & Maxillofacial Surgery PC,MO,Healthcare Provider,Hacking/IT Incident,Email,501,12/04/2025,No,LOW
"Friendship House, Inc.",NE,Healthcare Provider,Hacking/IT Incident,Network Server,501,04/04/2025,No,LOW
"Precipio, Inc.",CT,Healthcare Provider,Hacking/IT Incident,Network Server,501,01/23/2026,No,LOW
